feature_set,metric,model_a,model_b,model_a_mean,model_b_mean,percent_change_a_vs_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
A_all_21,r2,Two-stage TL | training-selected,ANN,0.9201464955534954,0.9511032468375389,-3.2548255288767134,10,-0.03095675128404344,-0.022420709903679226,0.026409918518747143,-0.0468440070763598,-0.016220959489114898,0.0,exact,0.001953125,10,0,0,0.0078125,True
A_all_21,rmse_q3,Two-stage TL | training-selected,XGBoost,46984.239524948855,68316.22987388266,-31.22536238945622,10,-21331.990348933796,-24338.8590724607,20181.020864994247,-32725.073287105566,-8610.079281308965,5.0,exact,0.01953125,8,2,0,0.0390625,True
A_all_21,rmse_q3_iqr2,Two-stage TL | training-selected,XGBoost,55808.01937520986,81946.40415624049,-31.896927083212486,10,-26138.384781030647,-31176.187223745303,26819.283262065634,-40899.90975300752,-9761.05858713955,5.0,exact,0.01953125,8,2,0,0.0390625,True
B_no_component_costs,r2,Two-stage TL | training-selected,ANN,0.7390340822371833,0.7209391966842221,2.5099045295614366,10,0.01809488555296116,-0.013794509168054692,0.2555159604137118,-0.12620142677960275,0.1755722384077821,24.0,exact,0.76953125,6,4,0,0.86328125,False
B_no_component_costs,mape_pct,Two-stage TL | training-selected,ANN,32.58143855935408,31.422788000703314,3.687293942933506,10,1.158650558650768,0.46514822505366027,13.470946473309585,-7.468405292463949,8.410835513825043,21.0,exact,0.556640625,4,6,0,0.86328125,False
B_no_component_costs,rmse,Two-stage TL | training-selected,ANN,51186.06597123049,52162.71003325617,-1.8723031479825722,10,-976.6440620256769,1744.1793805417292,19560.982818047858,-13156.958043124088,9781.668946256174,24.0,exact,0.76953125,4,6,0,0.86328125,False
B_no_component_costs,rmse_q3,Two-stage TL | training-selected,ANN,76540.73858882874,80359.38872278649,-4.751965133944512,10,-3818.650133957767,246.10683911179876,23066.817232144163,-17320.25210062949,9326.567810458346,24.0,exact,0.76953125,5,5,0,1.0,False
B_no_component_costs,rmse_q3_iqr2,Two-stage TL | training-selected,ANN,90026.60058046613,96034.7574522352,-6.25623163025881,10,-6008.156871769059,1012.1383846598073,27370.531957537674,-22042.516902715382,9686.51701225384,23.0,exact,0.6953125,5,5,0,1.0,False
B_no_component_costs,r2,Two-stage TL | training-selected,CatBoost,0.7390340822371833,0.8045743350396934,-8.145953698520197,10,-0.06554025280251016,-0.024213648039082103,0.1743002783809236,-0.17894254547864497,0.02582794985335506,19.0,exact,0.431640625,6,4,0,0.86328125,False
B_no_component_costs,mape_pct,Two-stage TL | training-selected,CatBoost,32.58143855935408,27.3056409294457,19.32127373805424,10,5.275797629908385,2.1413755909866783,8.571248434348812,0.7094928929724837,10.660927048855369,12.0,exact,0.130859375,4,6,0,0.5234375,False
B_no_component_costs,rmse,Two-stage TL | training-selected,CatBoost,51186.06597123049,46001.72327406429,11.269888013280429,10,5184.342697166215,3019.937589346213,13982.118044219666,-2470.408845239674,13752.272586669113,19.0,exact,0.431640625,4,6,0,0.86328125,False
B_no_component_costs,rmse_q3,Two-stage TL | training-selected,CatBoost,76540.73858882874,77087.33630210398,-0.7090629142160753,10,-546.5977132752465,-3406.849497913052,23394.821264258142,-14831.679263899096,13295.552167761702,27.0,exact,1.0,5,5,0,1.0,False
B_no_component_costs,rmse_q3_iqr2,Two-stage TL | training-selected,CatBoost,90026.60058046613,93331.34388332322,-3.5408718714995375,10,-3304.7433028570786,-6507.943194482206,27608.711081796835,-19506.126614730158,12674.503523099918,24.0,exact,0.76953125,6,4,0,1.0,False
B_no_component_costs,r2,Two-stage TL | training-selected,Monotonic GBM,0.7390340822371833,0.7135073419563913,3.577642272159282,10,0.025526740280791955,0.07435876645120082,0.17263933595079803,-0.08895576701589174,0.10890907544622916,12.0,exact,0.130859375,2,8,0,0.5234375,False
B_no_component_costs,mape_pct,Two-stage TL | training-selected,Monotonic GBM,32.58143855935408,34.02221870141354,-4.234821234629235,10,-1.4407801420594548,-5.113497927963573,7.582524524053013,-5.330681889601158,3.4537767921476963,19.0,exact,0.431640625,6,4,0,0.86328125,False
B_no_component_costs,rmse,Two-stage TL | training-selected,Monotonic GBM,51186.06597123049,55654.860712282105,-8.029477899790026,10,-4468.794741051612,-8633.776537255788,13132.15988226223,-10993.862213433971,4141.070947082783,12.0,exact,0.130859375,8,2,0,0.5234375,False
B_no_component_costs,rmse_q3,Two-stage TL | training-selected,Monotonic GBM,76540.73858882874,88686.57613607179,-13.69523785494627,10,-12145.83754724306,-11251.01992580267,22848.722795542562,-26323.349903551665,1182.1790047456982,12.0,exact,0.130859375,7,3,0,0.5234375,False
B_no_component_costs,rmse_q3_iqr2,Two-stage TL | training-selected,Monotonic GBM,90026.60058046613,106305.30429211678,-15.31316223592977,10,-16278.703711650644,-15933.868322322869,26839.74810234568,-32130.595732430153,-1026.1142832513199,12.0,exact,0.130859375,7,3,0,0.5234375,False
