feature_set,model_family,analysis_label,model,cutoff_rule,transfer_strategy,r2_mean,r2_std,r2_count,mape_pct_mean,mape_pct_std,mape_pct_count,rmse_mean,rmse_std,rmse_count,rmse_q3_mean,rmse_q3_std,rmse_q3_count,rmse_q3_iqr2_mean,rmse_q3_iqr2_std,rmse_q3_iqr2_count,r2_mean_sd,mape_pct_mean_sd,rmse_mean_sd,rmse_q3_mean_sd,rmse_q3_iqr2_mean_sd
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Mean | Aggressive,"Two-stage, transfer",Mean,Aggressive,0.6592914617153058,0.14114942853459603,10,36.189700906625035,13.253556163108135,10,59258.24642388137,14617.704360804073,10,82897.65918273524,30737.58770785548,10,98721.66558020737,38633.02337968255,10,0.6593 ± 0.1411,36.19 ± 13.25,59258.25 ± 14617.70,82897.66 ± 30737.59,98721.67 ± 38633.02
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Mean | Balanced,"Two-stage, transfer",Mean,Balanced,0.7567158132696317,0.0687900980808447,10,30.432307418042075,7.672349795885609,10,50627.58506403881,8311.750784811404,10,81568.89451075478,17456.55595304028,10,98324.66246151722,20556.49237396008,10,0.7567 ± 0.0688,30.43 ± 7.67,50627.59 ± 8311.75,81568.89 ± 17456.56,98324.66 ± 20556.49
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Mean | Conservative,"Two-stage, transfer",Mean,Conservative,0.6733612281965681,0.07477818190852635,10,33.473458389981445,8.160172331194072,10,59420.10637842411,12488.910558517091,10,92503.69874470642,30380.275741025747,10,109585.35325882558,39385.66972512574,10,0.6734 ± 0.0748,33.47 ± 8.16,59420.11 ± 12488.91,92503.70 ± 30380.28,109585.35 ± 39385.67
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3 | Aggressive,"Two-stage, transfer",Q3,Aggressive,0.427769663562254,0.34610861962985917,10,36.241406061930924,15.081871795633909,10,75471.93935076956,24831.354467147907,10,124208.49461641167,42239.832281832125,10,151135.44034569783,52264.93470231369,10,0.4278 ± 0.3461,36.24 ± 15.08,75471.94 ± 24831.35,124208.49 ± 42239.83,151135.44 ± 52264.93
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3 | Balanced,"Two-stage, transfer",Q3,Balanced,0.6740154033956889,0.1596267970497667,10,34.33909962210812,12.603488597594017,10,56796.66761844233,9907.387421045889,10,82070.88671824663,20612.115996515397,10,93242.96635093215,27281.71553813329,10,0.6740 ± 0.1596,34.34 ± 12.60,56796.67 ± 9907.39,82070.89 ± 20612.12,93242.97 ± 27281.72
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3 | Conservative,"Two-stage, transfer",Q3,Conservative,0.7261416437169734,0.08512976510585672,10,30.296459814975513,8.455292514735408,10,53444.838788282555,7980.710863209972,10,85555.4307382082,21737.79787057538,10,99107.9389348986,29287.634973274005,10,0.7261 ± 0.0851,30.30 ± 8.46,53444.84 ± 7980.71,85555.43 ± 21737.80,99107.94 ± 29287.63
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Aggressive,"Two-stage, transfer",Q3+IQR/2,Aggressive,0.5730297334879155,0.1968843139760091,10,29.79243586877958,6.79616497064319,10,66573.53263606525,21270.395374307856,10,118610.78454807124,40696.942854892724,10,143553.92387818065,55147.80757036116,10,0.5730 ± 0.1969,29.79 ± 6.80,66573.53 ± 21270.40,118610.78 ± 40696.94,143553.92 ± 55147.81
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Balanced,"Two-stage, transfer",Q3+IQR/2,Balanced,0.7393420484670497,0.10207178606177351,10,28.7993461857724,8.216871347935731,10,51958.67290318454,12717.290094306536,10,88924.65547932926,21597.40516758547,10,107157.24483434041,27145.56266375249,10,0.7393 ± 0.1021,28.80 ± 8.22,51958.67 ± 12717.29,88924.66 ± 21597.41,107157.24 ± 27145.56
C_physical_quantity,two_stage_tl_exploratory,Two-stage TL | Q3+IQR/2 | Conservative,"Two-stage, transfer",Q3+IQR/2,Conservative,0.7724375041570676,0.07442979915413649,10,27.649430503215484,6.011322664748328,10,49044.222775025584,11545.734225311773,10,83826.56545622359,20982.638541865173,10,99942.88810563409,26531.781715219196,10,0.7724 ± 0.0744,27.65 ± 6.01,49044.22 ± 11545.73,83826.57 ± 20982.64,99942.89 ± 26531.78
C_physical_quantity,two_stage_tl_nested_selected,Two-stage TL | training-selected,"Two-stage TL, training-selected",training-selected,training-selected,0.7183437603595896,0.15502272935914635,10,31.140302591075073,9.504712672648546,10,52853.82479307575,9521.683058375134,10,82918.04925325829,17575.581596092143,10,97296.34655137287,22137.898254734708,10,0.7183 ± 0.1550,31.14 ± 9.50,52853.82 ± 9521.68,82918.05 ± 17575.58,97296.35 ± 22137.90
