analysis_label,metric,feature_set_a,feature_set_b,n_pairs,mean_difference_a_minus_b,median_difference_a_minus_b,sd_difference,ci95_low,ci95_high,wilcoxon_statistic,wilcoxon_method,p_unadjusted,negative_difference_count,positive_difference_count,ties,p_holm,reject_holm_0_05
CatBoost,rmse,A_all_21,C_physical_quantity,10,-10267.15065975803,-11512.420992837237,3388.2427801532144,-12103.983564448732,-8077.04262224238,0.0,exact,0.001953125,10,0,0,0.005859375,True
CatBoost,rmse,B_no_component_costs,C_physical_quantity,10,487.7404794966518,664.6011131619598,2432.7309281362946,-984.8052236542619,1917.9710035742887,16.0,exact,0.275390625,4,6,0,0.275390625,False
CatBoost,rmse_q3,A_all_21,B_no_component_costs,10,-16159.847659443414,-12877.502658176356,8649.05352876861,-21340.685734347644,-11189.011164590462,0.0,exact,0.001953125,10,0,0,0.005859375,True
CatBoost,rmse_q3,A_all_21,C_physical_quantity,10,-14609.315578129794,-16359.67881788397,7547.157309444956,-18842.151337175328,-9904.06017057586,0.0,exact,0.001953125,10,0,0,0.005859375,True
CatBoost,rmse_q3,B_no_component_costs,C_physical_quantity,10,1550.5320813136204,1967.4530841397645,5259.47219542463,-1704.6597731634133,4512.794530975576,16.0,exact,0.275390625,4,6,0,0.275390625,False
CatBoost,rmse_q3_iqr2,A_all_21,B_no_component_costs,10,-19454.781555921058,-16665.390369729554,11073.007632181987,-25888.104784179213,-13018.136625649104,0.0,exact,0.001953125,10,0,0,0.005859375,True
CatBoost,rmse_q3_iqr2,A_all_21,C_physical_quantity,10,-17570.24500962506,-20793.090598465773,9975.809214847975,-23110.29126300921,-11369.23119522022,1.0,exact,0.00390625,9,1,0,0.0078125,True
CatBoost,rmse_q3_iqr2,B_no_component_costs,C_physical_quantity,10,1884.536546295997,2568.1594557594617,6576.069879307925,-2155.280736601486,5532.552253928965,16.0,exact,0.275390625,4,6,0,0.275390625,False
Monotonic GBM,r2,A_all_21,B_no_component_costs,10,0.09046645135793074,0.0824250760019265,0.040552916168489626,0.06746627558219093,0.11515563907674263,0.0,exact,0.001953125,0,10,0,0.005859375,True
Monotonic GBM,r2,A_all_21,C_physical_quantity,10,0.07692844395448249,0.07085803959273212,0.05810334784900345,0.04264311370213301,0.11010025047057506,1.0,exact,0.00390625,1,9,0,0.0078125,True
