seed,split_id,feature_set,train_index_hash,test_index_hash,cutoff_rule,training_derived_cutoff_value,selected_hyperparameters,cv_f1,classifier_precision,classifier_recall,classifier_f1,train_low_count,train_high_count,test_true_low_count,test_true_high_count,test_predicted_low_count,test_predicted_high_count,elapsed_seconds,source_task
50,seed_50,A_all_21,40b42e284f01a5eeb6ec565897cb8c11457212b8abe1ee44c9946fb62c40a791,acdff9f7fc5bca71331b585d4aa02c27d84655a7488d09bf6671a57fa2574e65,Q3+IQR/2,222112.26612000004,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9177735610373182,0.9545454545454546,0.9545454545454546,0.9545454545454546,245,48,104,22,104,22,0.3559820999998919,A_all_21_seed50
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Mean,149367.6454396045,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9079233523677968,0.8679245283018868,0.92,0.8932038834951457,167,126,76,50,73,53,0.3625578999999561,A_all_21_seed51
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3,180607.26672,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8595454545454545,0.9666666666666668,0.90625,0.935483870967742,219,74,94,32,96,30,0.3491845000007743,A_all_21_seed51
51,seed_51,A_all_21,7cb7afdb1193a54f11bb0b32d22c46a42ebf03b34cd024b772cd7075257d9324,2738fc002bbee32f35e59b1bcd9f93799733d098b0f3796ed8a7ad71b2cd3248,Q3+IQR/2,227427.68412,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.9306397306397306,0.9473684210526316,0.8571428571428571,0.9,247,46,105,21,107,19,0.3330543000001853,A_all_21_seed51
42,seed_42,B_no_component_costs,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,Mean,154018.6739051335,"{""C"": 50, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.842908993593925,0.7547169811320755,0.8333333333333334,0.7920792079207921,178,115,78,48,73,53,0.3756959000002098,B_no_component_costs_seed42
42,seed_42,B_no_component_costs,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,Q3,190358.76024,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.855347267111973,0.7142857142857143,0.8333333333333334,0.7692307692307693,219,74,102,24,98,28,0.3575003999994806,B_no_component_costs_seed42
42,seed_42,B_no_component_costs,ec2c5a575a0b1ee4de75df97ea8ba831680db19b0e9a19408adfd21c224436b7,b8d3dc52f3d64eaa2c6def794ef4b4b617249cc20aef64b0716876562347b736,Q3+IQR/2,242028.252,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""rbf""}",0.7801587301587302,0.7692307692307693,0.7142857142857143,0.7407407407407407,249,44,112,14,113,13,0.3258052999999563,B_no_component_costs_seed42
43,seed_43,B_no_component_costs,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Mean,148856.99495687414,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8927322743507021,0.8653846153846154,0.8823529411764706,0.8737864077669902,168,125,75,51,74,52,0.3944573999997374,B_no_component_costs_seed43
43,seed_43,B_no_component_costs,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3,174395.51352,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8193880837359098,0.9696969696969696,0.8,0.8767123287671232,219,74,86,40,93,33,0.3538837000005514,B_no_component_costs_seed43
43,seed_43,B_no_component_costs,27ca6bd09e7cb3bd5f7eec2fd33521faae62261040e2913cdd814ecbe88dc452,841dd3f96c71e5aaaa3280e2e0b2dbc161f6ec361c973095c51218827f5e491b,Q3+IQR/2,219972.29544,"{""C"": 100, ""gamma"": ""auto"", ""kernel"": ""linear""}",0.8390350877192981,0.6956521739130435,0.8,0.7441860465116279,242,51,106,20,103,23,0.3590999000007286,B_no_component_costs_seed43
